+23.0°C +25.0°C +20.0°C +21.0°C
+84.0°C +87.0°C +73.0°C +82.0°C
+84.0°C +84.0°C +71.0°C +79.0°C
+70.0°C +72.0°C +59.0°C +66.0°C
+74.0°C +77.0°C +63.0°C +71.0°C
+90.0°C +91.0°C +76.0°C +84.0°C
+88.0°C +88.0°C +76.0°C +83.0°C
+72.0°C +72.0°C +62.0°C +69.0°C
+78.0°C +80.0°C +65.0°C +73.0°C
+94.0°C +73.0°C +80.0°C +89.0°C
+86.0°C +88.0°C +72.0°C +83.0°C
+75.0°C +75.0°C +62.0°C +70.0°C
+81.0°C +82.0°C +65.0°C +75.0°C
+93.0°C +93.0°C +79.0°C +90.0°C
+90.0°C +87.0°C +74.0°C +83.0°C
+71.0°C +77.0°C +62.0°C +71.0°C
+81.0°C +82.0°C +68.0°C +75.0°C
+97.0°C +93.0°C +79.0°C +90.0°C
+88.0°C +89.0°C +74.0°C +82.0°C
+76.0°C +77.0°C +63.0°C +71.0°C
+82.0°C +84.0°C +70.0°C +78.0°C
+95.0°C +93.0°C +79.0°C +89.0°C
+88.0°C +87.0°C +73.0°C +82.0°C
+75.0°C +77.0°C +63.0°C +71.0°C
+86.0°C +85.0°C +71.0°C +79.0°C
+97.0°C +94.0°C +81.0°C +89.0°C
+82.0°C +83.0°C +68.0°C +76.0°C
+76.0°C +75.0°C +62.0°C +70.0°C
+97.0°C +95.0°C +81.0°C +89.0°C
+96.0°C +92.0°C +80.0°C +86.0°C
+74.0°C +74.0°C +62.0°C +70.0°C
+75.0°C +76.0°C +63.0°C +71.0°C
+97.0°C +96.0°C +81.0°C +89.0°C
+95.0°C +93.0°C +78.0°C +88.0°C
+73.0°C +74.0°C +62.0°C +70.0°C
+75.0°C +75.0°C +60.0°C +70.0°C
+96.0°C +94.0°C +81.0°C +89.0°C
+94.0°C +93.0°C +77.0°C +87.0°C
+74.0°C +75.0°C +62.0°C +68.0°C
+75.0°C +75.0°C +62.0°C +71.0°C
+95.0°C +94.0°C +80.0°C +90.0°C
+94.0°C +92.0°C +79.0°C +86.0°C
+73.0°C +73.0°C +62.0°C +68.0°C
+73.0°C +74.0°C +62.0°C +70.0°C
+97.0°C +93.0°C +82.0°C +88.0°C
+93.0°C +92.0°C +75.0°C +88.0°C
+73.0°C +73.0°C +61.0°C +69.0°C
+69.0°C +69.0°C +59.0°C +63.0°C
+96.0°C +94.0°C +79.0°C +87.0°C
+92.0°C +91.0°C +78.0°C +87.0°C
+73.0°C +73.0°C +61.0°C +68.0°C
+73.0°C +75.0°C +63.0°C +70.0°C
+96.0°C +93.0°C +81.0°C +89.0°C
+92.0°C +91.0°C +78.0°C +86.0°C
+72.0°C +73.0°C +61.0°C +68.0°C
+75.0°C +74.0°C +63.0°C +70.0°C
+94.0°C +82.0°C +69.0°C +88.0°C
+93.0°C +91.0°C +78.0°C +85.0°C
+73.0°C +73.0°C +61.0°C +69.0°C
+73.0°C +75.0°C +62.0°C +70.0°C
+96.0°C +93.0°C +80.0°C +89.0°C
+93.0°C +91.0°C +78.0°C +87.0°C
+73.0°C +73.0°C +60.0°C +69.0°C
+75.0°C +75.0°C +63.0°C +71.0°C
+95.0°C +92.0°C +79.0°C +89.0°C
+94.0°C +91.0°C +78.0°C +87.0°C
+73.0°C +73.0°C +62.0°C +68.0°C
+75.0°C +75.0°C +63.0°C +70.0°C
+93.0°C +91.0°C +77.0°C +92.0°C
+93.0°C +92.0°C +78.0°C +85.0°C
+73.0°C +73.0°C +62.0°C +67.0°C
+73.0°C +75.0°C +63.0°C +69.0°C
+95.0°C +93.0°C +79.0°C +87.0°C
+92.0°C +91.0°C +78.0°C +89.0°C
+96.0°C +92.0°C +80.0°C +89.0°C
+92.0°C +87.0°C +78.0°C +84.0°C
+73.0°C +73.0°C +61.0°C +69.0°C
+74.0°C +75.0°C +63.0°C +70.0°C
+94.0°C +93.0°C +79.0°C +88.0°C
+33.0°C +35.0°C +32.0°C +31.0°C
+29.0°C +29.0°C +26.0°C +26.0°C
+27.0°C +28.0°C +25.0°C +25.0°C
+27.0°C +27.0°C +24.0°C +24.0°C
+26.0°C +26.0°C +24.0°C +23.0°C
+25.0°C +26.0°C +23.0°C +23.0°C
+25.0°C +25.0°C +23.0°C +22.0°C
+25.0°C +24.0°C +22.0°C +22.0°C
+23.0°C +24.0°C +22.0°C +22.0°C
